Date,Agency,Category,Title,Link
4. May 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Guidance,Guideline on Requirements for Revision/Renewal of Certificates of Suitability to the European Pharmacopoeia Monographs,https://www.linkedin.com/feed/update/urn:li:activity:7454774625739296770/
4. May 2026,European Data Protection Supervisor,News," EDPS has just launched a pilot project for an AI regulatory sandbox *** Under the AI Act, the EDPS as supervisory authority may establish a regulatory sandbox.",https://www.linkedin.com/feed/update/urn:li:activity:7455531077609193472/
4. May 2026,European Medicines Agency,Recommendations,Pharmacovigilance-related regulatory recommendations for centrally authorised veterinary medicinal products during 2026,https://www.linkedin.com/feed/update/urn:li:activity:7455492558723551232/
4. May 2026,European Medicines Agency,Guidance,Annexes to ICH Q3C / VICH GL18 Guideline on Residual Solvents,https://www.linkedin.com/feed/update/urn:li:activity:7455496019619885056/
4. May 2026,European Medicines Agency,Guidance,Guidance on the details of the classification of variations requiring assessment according to Article 62 of Regulation (EU) 2019/6 for veterinary medicinal products and on the documentation to be submitted pursuant to those variations,https://www.linkedin.com/feed/update/urn:li:activity:7455160886861856768/
4. May 2026,European Medicines Agency,List,List of Clinical Evaluation Consultation Procedure (CECP) opinions issued for medical devices awaiting finalisation of conformity assessment,https://www.linkedin.com/feed/update/urn:li:activity:7455166826935889921/
4. May 2026,European Medicines Agency,News,New pilot to support development of breakthrough medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7455155980226633728/
4. May 2026,Health Canada,Guidance,Sante Canada Guidance on how to complete the application for a new or amended medical device licence: Overview,https://www.linkedin.com/feed/update/urn:li:activity:7455839822654574592/
4. May 2026,Health Canada,Guidance,Sante Canada Guidance on how to complete the application for a new medical device licence or amendment for a private label medical device,https://www.linkedin.com/feed/update/urn:li:activity:7455843837773754368/
4. May 2026,Health Canada,Guidance,Sante Canada Guidance on the regulatory enrolment process for medical devices: Overview,https://www.linkedin.com/feed/update/urn:li:activity:7455847161851891713/
4. May 2026,Health Canada,Guidance,Sante Canada Mandatory use of the regulatory enrolment process for medical devices: Notice to industry,https://www.linkedin.com/feed/update/urn:li:activity:7455845772861853696/
4. May 2026,Medical Device Authority,Guidance,Standards of Promotion for Medical Device Advertising,https://www.linkedin.com/feed/update/urn:li:activity:7455491980312268800/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Common issues identified during clinical trial applications,https://www.linkedin.com/feed/update/urn:li:activity:7454771036664967168/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: clinical trials hub,https://www.linkedin.com/feed/update/urn:li:activity:7454777177771814912/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Guidance for Formulating Responses to GCP Inspection Findings,https://www.linkedin.com/feed/update/urn:li:activity:7454780622591541248/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use (ICH) Guidelines MHRA Implementation Directory,https://www.linkedin.com/feed/update/urn:li:activity:7454782342025392128/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Innovative Licensing and Access Pathway (ILAP) Updated guidance and supporting materials; pathway remains active with clarified application process and expanded supporting resources.,https://www.linkedin.com/feed/update/urn:li:activity:7454778674899496960/
4. May 2026,Medicines and Healthcare products Regulatory Agency,Post,New regulations came into effect today (28 April 2026) the largest package of reforms in over 20 years.,https://www.linkedin.com/feed/update/urn:li:activity:7454883106546876416/
